date,close,high,low,trade_count,open,volume,vwap,tic,macd,rsi_14,cci_14,boll_ub,boll_lb
2016-01-19,29.8,30.06,29.48,119743,29.98,31006080,29.840081,INTC,-36.118708144018015,14.510230184155404,-47.854395758634936,172.74189196752857,-23.366891967528574
2016-01-19,95.26,97.42,93.92,170892,96.53,31998808,95.717129,META,1.4262363606302841,51.842088374813095,3.4570743054795274,107.40708878153004,76.89791121846997
2016-01-19,50.56,51.68,50.06,252675,51.48,46996785,50.731971,MSFT,-23.864074015691827,12.790274371909575,-47.60044611947312,168.09600799367573,7.863992006324281
2016-01-19,27.33,28.45,27.215,72672,27.67,12143934,27.671861,NVDA,-23.81187904765494,15.462214465683488,-47.707018934136244,159.1656257950824,-20.3136257950824
2016-01-19,204.72,210.47,200.78,35510,208.71,4109653,206.330742,TSLA,12.555855997045398,61.00308666773162,23.654429569725202,247.706205708813,121.70779429118699
2016-01-20,96.79,98.1897,93.42,431731,95.1,76814602,95.301615,AAPL,-0.4403098701660042,31.356436782604803,-96.99835470466613,104.58843612197663,93.43656387802338
2016-01-20,87.94,88.76,84.67,35125,87.88,4001633,86.912113,ADBE,10.786773209651187,78.08742864868452,22.881305657541798,115.2630160305541,30.281983969445925
2016-01-20,571.77,578.45,547.18,100213,564.36,8174655,559.512242,AMZN,127.01887128448806,78.97620496932961,18.18283279457773,917.2143850606047,-122.11738506060476
2016-01-20,22.9,23.51,22.47,258075,23.4,87850094,22.86839,CSCO,-1.0623284997822076,25.507936350581545,-181.46175844920623,27.55921530250108,23.30078469749892
2016-01-20,718.56,726.95,687.78,65295,705.9,4321975,706.84952,GOOGL,124.7569227130906,80.27902594490631,25.51397616099321,1036.9756894993698,37.54231050063015
2016-01-20,29.59,29.87,29.21,192522,29.35,41182732,29.537975,INTC,-34.89210880345628,14.471932066029638,-46.10083969186246,161.9502983274877,-24.60329832748768
2016-01-20,94.35,95.0,89.37,336813,92.83,60576422,92.010006,META,1.22750368293363,50.39336206346533,-49.35622919600118,107.5159651931714,77.7320348068286
2016-01-20,50.79,51.38,49.1,368619,49.98,66926135,50.243993,MSFT,-23.230189802702,13.165847656186259,-46.4707748525653,162.79878754819816,5.003212451801815
2016-01-20,27.48,27.83,26.45,80360,26.81,12625592,27.113577,NVDA,-23.303246097491872,15.675834775449687,-46.608103452433326,154.0512846578573,-23.899284657857322
2016-01-20,198.7,201.28,191.25,53750,199.4,5962056,195.950117,TSLA,11.553134617488297,56.901969381592586,-16.507518812146287,248.9081937916331,124.12180620836688
2016-01-21,96.3,97.88,94.94,301289,97.06,53874569,96.644399,AAPL,-0.49090854712764553,30.14929987231021,-83.44760205166806,104.35037983691669,93.25731247077562
2016-01-21,88.0,89.93,87.14,35040,88.64,4506495,88.666486,ADBE,10.338761375424653,78.13433238774142,22.17700171810842,116.04758624352459,33.560413756475405
2016-01-21,575.02,588.81,568.22,64666,573.58,5219051,579.158454,AMZN,121.67674948911929,79.19209836704209,10.86283398162998,925.9885182395337,-82.2915182395339
2016-01-21,22.9,23.45,22.87,169448,23.09,49743517,23.061591,CSCO,-1.1260087743072908,25.50793635058156,-137.64880391195567,27.605540377007767,22.900459622992233
2016-01-21,726.67,737.67,711.11,41239,720.17,2735248,726.778554,GOOGL,120.63627222806042,80.78235878607457,26.231885496075066,1047.7296976577454,75.27530234225463
2016-01-21,29.66,30.03,29.24,147225,29.65,31652021,29.688487,INTC,-33.52788300895969,14.552890842361904,-47.61833637515952,152.10287526027577,-25.569875260275765
2016-01-21,94.16,95.99,92.62,179890,94.91,31264908,94.811438,META,1.0426561014569273,50.078693223332984,-51.22796939650511,107.55648298480418,78.58851701519583
2016-01-21,50.48,51.58,50.3,262521,51.0,42203074,50.894473,MSFT,-22.493554709303105,13.084059424064833,-46.61138312686162,156.59797000079328,3.0220299992067226
2016-01-21,27.8,28.23,27.21,78336,27.78,12304421,27.917249,NVDA,-22.61365337474311,16.16254799982501,-46.447274652593784,147.53465402850145,-26.311654028501458
2016-01-21,199.97,203.23,195.02,30461,201.55,3227323,199.791466,TSLA,10.737177586581879,57.5503299751662,-33.466431318128855,249.92213862115227,127.01986137884774
2016-01-22,101.42,101.46,98.37,375004,98.63,68555074,100.081638,AAPL,-0.22567085790431918,51.26241765022005,46.69911259846942,104.50007674658711,93.48135182484144
2016-01-22,89.63,89.93,88.48,32107,89.55,5638147,89.278658,ADBE,9.99996280017109,79.42293383067673,-10.13054159882806,116.57178594365864,37.23321405634137
2016-01-22,596.38,600.1,584.1079,62924,588.73,5299865,593.816079,AMZN,117.80862843019378,80.60199685155425,-27.57642656292199,931.5683154895748,-37.19131548957478
2016-01-22,23.37,23.64,22.99,169085,23.6,57740419,23.239887,CSCO,-1.1255758409658938,31.366897447405663,-98.13412752520733,27.4530415557774,22.706958444222604
2016-01-22,745.46,748.56,740.5,36493,742.0,2593439,745.052089,GOOGL,117.53198740670587,81.93290942326558,45.33641001632493,1055.311384285415,117.79661571458507
2016-01-22,29.925,30.24,29.51,117371,30.12,28381889,29.845308,INTC,-32.05582139778476,14.881373464172512,-86.5141515418046,140.59847669373306,-24.82997669373306
2016-01-22,97.94,98.07,95.49,166638,96.41,31534585,97.087656,META,1.1874888384600268,55.969286181937264,-16.509087088979754,107.95223913886335,79.30976086113665
2016-01-22,52.29,52.33,51.26,202643,51.41,40903508,52.066941,MSFT,-21.515694682175166,16.35145669620998,-27.998767725613497,148.66767981569438,2.6363201843056174
2016-01-22,28.45,28.64,28.27,50312,28.33,6723067,28.42657,NVDA,-21.763816872592457,17.207889307403747,-48.79190828500967,139.407238095346,-27.31523809534599
2016-01-22,202.55,205.5,199.03,32039,204.8005,3181517,202.064603,TSLA,10.181345980184119,58.902933989958456,-62.528167574634686,251.07081929472008,129.62518070527994
2016-01-25,99.44,101.53,99.21,281834,101.52,56705555,100.342522,AAPL,-0.14025884097381436,45.53092203218906,55.3236163033045,104.33468837029817,93.70664496303515
2016-01-25,86.77,89.26,86.63,34022,88.39,4187986,87.777042,ADBE,9.39241448280525,71.46480119096914,-121.57222004100733,116.20503954649627,41.54496045350373
2016-01-25,596.53,608.5,594.56,57520,597.99,4542970,601.642717,AMZN,113.4474665927998,80.61193187253956,1.633734562347048,930.2259437373114,15.028056262688551
2016-01-25,23.17,23.515,23.14,134967,23.38,68139344,23.324028,CSCO,-1.128363989020741,30.275655663311298,-85.69216148674798,27.419932069139655,22.460067930860347
2016-01-25,733.62,752.46,732.501,32553,743.84,2376135,741.938063,GOOGL,112.81595813177898,78.73417245857706,28.015322447822278,1054.2184876439785,168.43251235602156
2016-01-25,29.6,30.215,29.57,111480,29.99,29688213,29.853931,INTC,-30.56311419361313,14.806197202773035,-76.13312181043749,130.2674751738501,-24.0739751738501
2016-01-25,97.01,99.48,96.93,167774,98.72,34128067,98.210682,META,1.2132411100326976,54.27249390302251,10.457481426084762,107.90351926818946,80.68048073181055
2016-01-25,51.79,52.65,51.65,194697,51.94,36863467,52.081977,MSFT,-20.544257969386322,16.170612287847447,-14.384895436457665,140.25318221157295,3.0068177884270284
2016-01-25,28.42,28.765,28.355,43078,28.44,7018769,28.529158,NVDA,-20.85236301053604,17.19723141924584,-37.06557007270121,130.6153089827489,-27.39330898274889
2016-01-25,196.38,203.57,195.88,25885,200.06,2767399,199.37278,TSLA,9.137644909870431,54.43577979475996,-88.62046161494003,250.70325658765492,134.29174341234508
2016-01-26,99.99,100.88,98.07,402740,99.93,76898628,99.751389,AAPL,-0.040328510550907026,47.293762758156696,62.21602969510278,104.23790977159635,93.92459022840364
2016-01-26,86.89,87.58,85.47,25735,87.26,2957866,86.775913,ADBE,8.818951675948199,71.59341398884818,-161.262013151239,115.24321441176822,46.44778558823178
2016-01-26,601.25,604.5,590.38,53542,603.45,3911324,597.583465,AMZN,109.11427749976696,80.94268869762567,8.363695512709667,921.517663350023,74.93833664997697
2016-01-26,23.72,23.851,23.24,93674,23.24,27933209,23.651528,CSCO,-1.073814942750083,36.788393929083206,-53.064540341024454,27.29654830663467,22.34645169336533
2016-01-26,733.79,739.46,726.97,25633,735.21,1633977,732.707407,GOOGL,107.84897270975034,78.74700232838131,7.860734061468338,1045.352149248852,226.80485075114797
2016-01-26,29.94,30.05,29.61,100959,29.61,27675932,29.92856,INTC,-29.018194142554293,15.288323945821375,-61.98419231343363,118.74705764917161,-21.874557649171628
2016-01-26,97.34,97.88,95.66,153979,97.76,27635806,96.884833,META,1.2459160679881336,54.796178424873176,-4.838205181631631,107.87642826794189,81.91657173205809
2016-01-26,52.17,52.44,51.55,163387,51.79,31791281,52.119606,MSFT,-19.51872484148182,16.92263271501794,3.6302868637948484,130.5605376050333,4.7304623949667075
2016-01-26,28.7,28.82,28.185,31720,28.48,6319276,28.604215,NVDA,-19.87829103302135,17.70951992389928,-23.617459562901473,120.21354737529987,-25.925547375299864
2016-01-26,193.56,197.82,188.88,41156,196.7,5239144,192.362102,TSLA,7.990840425609036,52.476886831448184,-135.01585149170296,249.57948132672047,139.5655186732795
2016-01-27,93.42,96.6289,93.34,683978,96.04,136157631,94.847878,AAPL,-0.3701987332107137,33.39148076586828,-166.7753883261467,104.44650799421774,93.04996259401756
2016-01-27,84.85,87.83,84.51,30673,87.27,3279871,85.761391,ADBE,8.106421537516624,66.13614030741704,-185.92960141635825,113.3423666289062,52.0806333710938
2016-01-27,583.35,603.39,578.78,68559,601.99,5343567,588.714093,AMZN,103.0479410023791,75.6704358669968,-25.82103633072197,900.6184389519892,145.43356104801086
2016-01-27,23.43,23.9,23.295,100411,23.69,26853624,23.575513,CSCO,-1.041973781794443,34.93543686442575,-49.591686473442145,27.18674411078986,22.205255889210143
