time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/loss,train/clip_range,train/std,train/n_updates,train/policy_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
69,28672,56,414,0.013490649,-0.3633662462234497,0.2,2.4273934364318848,550,-0.027524126099888236,0.0005562533485279107,-22.98240382671356,-0.0927276611328125,7.8022323697805405,0.12421875,-0.027524126099888236,-1.1429838200105824,2327.0
70,29184,57,413,0.019780649,-1.6793676614761353,0.2,2.477724075317383,560,-0.04192684761947021,0.0005562533485279107,-23.122622776031495,-1.4185726642608643,0.23318780846893788,0.18203125,-0.04192684761947021,-1.1429838200105824,2327.0
71,29696,58,413,0.015154654,-1.5414164066314697,0.2,2.521324872970581,570,-0.034138562716543676,0.0005562533485279107,-23.30620930194855,0.01826256513595581,0.6061403185129166,0.16171875,-0.034138562716543676,-1.1429838200105824,2327.0
73,30208,59,413,0.012817413,-0.9274784326553345,0.2,2.5700840950012207,580,-0.028479501022957265,0.0005562533485279107,-23.484730911254882,0.48863160610198975,2.084955034404993,0.107421875,-0.028479501022957265,-1.1429838200105824,2327.0
74,30720,60,413,0.014706008,-1.5342258214950562,0.2,2.6077003479003906,590,-0.02861915478424635,0.0005562533485279107,-23.65619695186615,0.7202414274215698,0.7491916134953499,0.15859375,-0.02861915478424635,-1.059329864650506,2327.0
75,31232,61,411,0.01670953,-1.7518601417541504,0.2,2.6668972969055176,600,-0.03810656614368781,0.0005562533485279107,-23.832326340675355,-0.6020605564117432,0.28639750089496374,0.181640625,-0.03810656614368781,-1.059329864650506,2327.0
77,31744,62,411,0.014921703,-1.560579776763916,0.2,2.718379497528076,610,-0.03350048459833488,0.0005562533485279107,-24.051962161064147,0.010403096675872803,0.5591629944741726,0.1498046875,-0.03350048459833488,-1.059329864650506,2327.0
78,32256,63,410,0.011767977,2.9523990154266357,0.2,2.748757839202881,620,-0.022893702331930398,0.0005562533485279107,-24.196938252449037,0.02217966318130493,8.193994224071503,0.133203125,-0.022893702331930398,-1.059329864650506,2327.0
78,32768,64,416,0.013627077,-1.202631950378418,0.2,2.796247959136963,630,-0.0321322847972624,0.0005562533485279107,-24.329724431037903,0.7912858128547668,1.4065806142985822,0.1546875,-0.0321322847972624,-0.9853275886040412,2327.0
80,33280,65,415,0.024132216,-1.5848138332366943,0.2,2.837462902069092,640,-0.042876684083603324,0.0005562533485279107,-24.502661418914794,0.4026525020599365,0.6389215271919966,0.1890625,-0.042876684083603324,-0.9853275886040412,2327.0
81,33792,66,415,0.017666169,-1.7224186658859253,0.2,2.8824074268341064,650,-0.03894751514308155,0.0005562533485279107,-24.64790782928467,-0.41142702102661133,0.28133639246225356,0.171875,-0.03894751514308155,-0.9853275886040412,2327.0
82,34304,67,415,0.015656937,-0.6574304103851318,0.2,2.9348933696746826,660,-0.03288462804630399,0.0005562533485279107,-24.814664030075072,-0.013318657875061035,2.6947941966354847,0.159765625,-0.03288462804630399,-0.9853275886040412,2327.0
83,34816,68,415,0.012123862,-1.7208272218704224,0.2,2.984830379486084,670,-0.02961040900554508,0.0005562533485279107,-24.990700435638427,0.18515968322753906,0.5041026450693608,0.1197265625,-0.02961040900554508,-0.9853275886040412,2327.0
85,35328,69,415,0.01528158,-1.8668605089187622,0.2,3.0336952209472656,680,-0.031286309714778325,0.0005562533485279107,-25.15925054550171,0.22979718446731567,0.1472404702100903,0.15390625,-0.031286309714778325,-0.920646310710716,2327.0
86,35840,70,414,0.01598759,-1.853400707244873,0.2,3.105315685272217,690,-0.03746930819470436,0.0005562533485279107,-25.356372284889222,0.07077652215957642,0.2352834090590477,0.1361328125,-0.03746930819470436,-0.920646310710716,2327.0
87,36352,71,413,0.017108748,-1.827970027923584,0.2,3.142427921295166,700,-0.040455108135938646,0.0005562533485279107,-25.537685465812682,-0.05263388156890869,0.26265633665025234,0.1984375,-0.040455108135938646,-0.920646310710716,2327.0
89,36864,72,412,0.010698335,-0.8817083835601807,0.2,3.178284168243408,710,-0.02262564436532557,0.0005562533485279107,-25.639043474197386,0.02453404664993286,3.77163292914629,0.065234375,-0.02262564436532557,-0.920646310710716,2327.0
90,37376,73,412,0.01319875,-0.8795055150985718,0.2,3.222130298614502,720,-0.02508433792972937,0.0005562533485279107,-25.76433982849121,0.4267715811729431,3.2757221311330795,0.117578125,-0.02508433792972937,-0.8894216796022056,2327.0
91,37888,74,412,0.0066597713,7.218322277069092,0.2,3.2468979358673096,730,-0.011987083783606068,0.0005562533485279107,-25.87467727661133,0.01850593090057373,28.16399452984333,0.0326171875,-0.011987083783606068,-0.8894216796022056,2327.0
93,38400,75,411,0.015766531,-1.8710426092147827,0.2,3.313228130340576,740,-0.03499394302489236,0.0005562533485279107,-26.00833821296692,-1.3795499801635742,0.2985120601952076,0.155078125,-0.03499394302489236,-0.8894216796022056,2327.0
94,38912,76,411,0.013166111,-1.1358609199523926,0.2,3.344271421432495,750,-0.029915266763418914,0.0005562533485279107,-26.167486596107484,0.10728418827056885,1.6504219874739647,0.1505859375,-0.029915266763418914,-0.8894216796022056,2327.0
95,39424,77,411,0.010266676,-0.13174712657928467,0.2,3.380882978439331,760,-0.024751791474409403,0.0005562533485279107,-26.25650885105133,0.13494718074798584,5.741321340203285,0.1072265625,-0.024751791474409403,-0.8894216796022056,2327.0
97,39936,78,411,0.009597417,-1.079423189163208,0.2,3.409590244293213,770,-0.017865318030817433,0.0005562533485279107,-26.362243461608887,0.2860434651374817,2.460609716176987,0.0826171875,-0.017865318030817433,-0.9472649278845504,2327.0
98,40448,79,410,0.01156458,-1.3368251323699951,0.2,3.464909076690674,780,-0.030092506378423423,0.0005562533485279107,-26.48598721027374,-0.04129350185394287,1.7170313023030759,0.094140625,-0.030092506378423423,-0.9472649278845504,2327.0
99,40960,80,409,0.016933605,-1.921824336051941,0.2,3.539957046508789,790,-0.03396617122343741,0.0005562533485279107,-26.67467610836029,-0.2888273000717163,0.2335461750626564,0.15234375,-0.03396617122343741,-0.9472649278845504,2327.0
101,41472,81,409,0.010030725,-1.5407969951629639,0.2,3.569225788116455,800,-0.02078812653198838,0.0005562533485279107,-26.825273513793945,0.0711565613746643,1.427776473760605,0.0916015625,-0.02078812653198838,-0.9472649278845504,2327.0
102,41984,82,409,0.013706996,-0.9248604774475098,0.2,3.61742901802063,810,-0.025893262901809065,0.0005562533485279107,-26.922751688957213,0.6191926896572113,2.6178762659430506,0.10625,-0.025893262901809065,-0.9187932393356824,2327.0
103,42496,83,409,0.0042842915,19.015907287597656,0.2,3.6346869468688965,820,-0.00643354763451498,0.0005562533485279107,-27.025875282287597,0.06412404775619507,55.1775320649147,0.012109375,-0.00643354763451498,-0.9187932393356824,2327.0
105,43008,84,408,0.020381078,-2.0383458137512207,0.2,3.7285525798797607,830,-0.04373913741437718,0.0005562533485279107,-27.16766595840454,-0.7062911987304688,0.13228887394070626,0.209765625,-0.04373913741437718,-0.9187932393356824,2327.0
106,43520,85,408,0.014598062,-1.862467885017395,0.2,3.7754123210906982,840,-0.03256796904024668,0.0005562533485279107,-27.36523883342743,0.039279818534851074,0.43711277563124895,0.1625,-0.03256796904024668,-0.9187932393356824,2327.0
107,44032,86,408,0.013007488,-1.3113646507263184,0.2,3.8227767944335938,850,-0.026324977161129935,0.0005562533485279107,-27.489534115791322,0.3894152045249939,1.5831980898976326,0.1392578125,-0.026324977161129935,-0.9187932393356824,2327.0
109,44544,87,408,0.012373001,-0.4701426029205322,0.2,3.868415355682373,860,-0.020762270342675037,0.0005562533485279107,-27.60902121067047,0.4414142966270447,2.9875821605324746,0.11328125,-0.020762270342675037,-0.8767322169140136,2327.0
109,45056,88,411,0.022506636,-1.9758861064910889,0.2,3.960829257965088,870,-0.04291702404152602,0.0005562533485279107,-27.791664671897887,-1.2855629920959473,0.26154830316081645,0.2126953125,-0.04291702404152602,-0.8767322169140136,2327.0
110,45568,89,411,0.016350875,-1.9940178394317627,0.2,4.047763824462891,880,-0.030973055318463595,0.0005562533485279107,-28.016989278793336,-0.18162226676940918,0.2596531562507153,0.132421875,-0.030973055318463595,-0.8767322169140136,2327.0
115,46080,90,399,0.011849805,2.5050270557403564,0.2,4.097287178039551,890,-0.018008190352702513,0.0005562533485279107,-28.19151258468628,0.03948235511779785,6.986561474204064,0.094140625,-0.018008190352702513,-0.8767322169140136,2327.0
116,46592,91,399,0.016648669,-1.7371186017990112,0.2,4.1817545890808105,900,-0.02862276112427935,0.0005562533485279107,-28.35408225059509,0.7875841557979584,0.8565824553370476,0.1244140625,-0.02862276112427935,-0.8685643099058984,2327.0
118,47104,92,399,0.013086623,-1.8630450963974,0.2,4.274223804473877,910,-0.02714893702650443,0.0005562533485279107,-28.566762065887453,0.7429011464118958,0.5870749022811651,0.1330078125,-0.02714893702650443,-0.8685643099058984,2327.0
119,47616,93,399,0.015475925,-2.1307239532470703,0.2,4.345309257507324,920,-0.034338454288081265,0.0005562533485279107,-28.758356165885925,-0.7759641408920288,0.14509999956935643,0.145703125,-0.034338454288081265,-0.8685643099058984,2327.0
120,48128,94,399,0.010533646,-1.8460068702697754,0.2,4.402398109436035,930,-0.02409591058967635,0.0005562533485279107,-28.9066734790802,-0.0029886960983276367,0.6119551461189985,0.12421875,-0.02409591058967635,-0.8685643099058984,2327.0
121,48640,95,399,0.008886665,-0.9754860401153564,0.2,4.444247722625732,940,-0.014903145504649728,0.0005562533485279107,-29.01345615386963,0.06831109523773193,10.745622912049294,0.073046875,-0.014903145504649728,-0.8685643099058984,2327.0
123,49152,96,399,0.013406551,-1.6216533184051514,0.2,4.498516082763672,950,-0.02428835894097574,0.0005562533485279107,-29.12145836353302,0.703044593334198,1.4832650370895863,0.1134765625,-0.02428835894097574,-0.9408953190509363,2327.0
124,49664,97,399,0.011207208,0.0870363712310791,0.2,4.551022529602051,960,-0.021286631672410294,0.0005562533485279107,-29.246411943435668,0.31565016508102417,4.0796628326177595,0.0748046875,-0.021286631672410294,-0.9408953190509363,2327.0
125,50176,98,399,0.014580717,-2.1515891551971436,0.2,4.649529457092285,970,-0.03200269528897479,0.0005562533485279107,-29.401291704177858,-1.0479316711425781,0.21000696457922458,0.1185546875,-0.03200269528897479,-0.9408953190509363,2327.0
